# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,1.0,0.0,0,2.3,0,0.0,0.0,0.0
 0.10177627134708041,1.0119121708207117,1.0,0.0,0.23408542409828492,2.3,0,0.0,0.0,0.0
 0.1434045058328314,1.0236495801371324,1.0,0.0,0.32983036341551225,2.300000000000001,0,0.0,0.0,0.0
 0.17498713798868276,1.0352135732306909,1.0,0.0,0.4024704173739704,2.3000000000000003,0,0.0,0.0,0.0
 0.20131199100944666,1.0466054953828157,1.0,0.0,0.4630175793217273,2.299999999999999,0,0.0,0.0,0.0
 0.2242411199830394,1.057826691874935,1.0,0.0,0.5157545759609906,2.3000000000000007,0,0.0,0.0,0.0
 0.2447332318517244,1.0688785079884784,1.0,0.0,0.5628864332589661,2.2999999999999994,0,0.0,0.0,0.0
 0.26336004286556347,1.0797622890048741,1.0,0.0,0.6057280985907959,2.2999999999999954,0,0.0,0.0,0.0
 0.2804954935785423,1.0904793802055506,1.0,0.0,0.6451396352306472,2.2999999999999985,0,0.0,0.0,0.0
 0.2964003269257374,1.1010311268719366,1.0,0.0,0.6817207519291959,2.2999999999999954,0,0.0,0.0,0.0
 0.31126512435467435,1.1114188742854605,1.0,0.0,0.7159097860157508,2.3000000000000003,0,0.0,0.0,0.0
 0.32523432051576145,1.1216439677275514,1.0,0.0,0.7480389371862511,2.299999999999997,0,0.0,0.0,0.0
 0.3384205673671095,1.1317077524796377,1.0,0.0,0.7783673049443518,2.300000000000009,0,0.0,0.0,0.0
 0.35091380562276275,1.1416115738231476,1.0,0.0,0.8071017529323542,2.299999999999996,0,0.0,0.0,0.0
 0.3627872499551347,1.1513567770395108,1.0,0.0,0.8344106748968098,2.3000000000000016,0,0.0,0.0,0.0
 0.374101482872083,1.160944707410155,1.0,0.0,0.8604334106057908,2.3000000000000025,0,0.0,0.0,0.0
 0.38490734087288353,1.1703767102165092,1.0,0.0,0.885286884007632,2.2999999999999976,0,0.0,0.0,0.0
 0.39524800221149253,1.1796541307400024,1.0,0.0,0.9090704050864327,2.299999999999996,0,0.0,0.0,0.0
 0.40516053099981764,1.1887783142620623,1.0,0.0,0.9318692212995804,2.2999999999999985,0,0.0,0.0,0.0
 0.4146770415050817,1.1977506060641183,1.0,0.0,0.9537571954616878,2.3000000000000016,0,0.0,0.0,0.0
 0.4238255911057905,1.2065723514275986,1.0,0.0,0.9747988595433179,2.299999999999994,0,0.0,0.0,0.0
 0.4326308755328138,1.2152448956339323,1.0,0.0,0.9950510137254716,2.299999999999999,0,0.0,0.0,0.0
 0.4411147774963944,1.2237695839645475,1.0,0.0,1.0145639882417068,2.2999999999999927,0,0.0,0.0,0.0
 0.4492968048743778,1.2321477617008734,1.0,0.0,1.0333826512110686,2.3000000000000034,0,0.0,0.0,0.0
 0.4571944445289335,1.240380774124338,1.0,0.0,1.0515472224165467,2.2999999999999985,0,0.0,0.0,0.0
 0.46482345083807647,1.2484699665163703,1.0,0.0,1.0690939369275756,2.2999999999999985,0,0.0,0.0,0.0
 0.4721980831207978,1.2564166841583992,1.0,0.0,1.0860555911778347,2.3000000000000007,0,0.0,0.0,0.0
 0.47933130262885193,1.2642222723318528,1.0,0.0,1.102461996046359,2.299999999999989,0,0.0,0.0,0.0
 0.4862349372368303,1.27188807631816,1.0,0.0,1.1183403556447093,2.2999999999999985,0,0.0,0.0,0.0
 0.4929198200949024,1.2794154413987495,1.0,0.0,1.133715586218275,2.299999999999996,0,0.0,0.0,0.0
 0.4993959071196614,1.2868057128550499,1.0,0.0,1.1486105863752207,2.2999999999999785,0,0.0,0.0,0.0
 0.5056723771535062,1.2940602359684894,1.0,0.0,1.1630464674530636,2.299999999999977,0,0.0,0.0,0.0
 0.5117577178284217,1.3011803560204975,1.0,0.0,1.1770427510053691,2.299999999999978,0,0.0,0.0,0.0
 0.5176597995599395,1.308167418292502,1.0,0.0,1.19061753898786,2.299999999999998,0,0.0,0.0,0.0
 0.5233859396243491,1.315022768065932,1.0,0.0,1.203787661136002,2.300000000000002,0,0.0,0.0,0.0
 0.5289429579028069,1.321747750622216,1.0,0.0,1.216568803176455,2.299999999999998,0,0.0,0.0,0.0
 0.5343372255850213,1.3283437112427825,1.0,0.0,1.2289756188455483,2.300000000000031,0,0.0,0.0,0.0
 0.5395747078942665,1.3348119952090605,1.0,0.0,1.2410218281568126,2.3000000000000447,0,0.0,0.0,0.0
 0.5446610017109392,1.3411539478024783,1.0,0.0,1.25272030393516,2.300000000000035,0,0.0,0.0,0.0
 0.549601368823421,1.3473709143044648,1.0,0.0,1.2640831482938681,2.300000000000002,0,0.0,0.0,0.0
 0.554400765414843,1.3534642399964483,1.0,0.0,1.2751217604541385,2.299999999999986,0,0.0,0.0,0.0
 0.5590638682965113,1.3594352701598578,1.0,0.0,1.2858468970819756,2.2999999999999714,0,0.0,0.0,0.0
 0.5635950983186434,1.3652853500761215,1.0,0.0,1.2962687261328794,2.29999999999999,0,0.0,0.0,0.0
 0.5679986413231365,1.3710158250266684,1.0,0.0,1.3063968750432136,2.300000000000025,0,0.0,0.0,0.0
 0.5722784669485477,1.376628040292927,1.0,0.0,1.3162404739816593,2.300000000000013,0,0.0,0.0,0.0
 0.5764383455521433,1.382123341156326,1.0,0.0,1.3258081947699294,2.3,0,0.0,0.0,0.0
